"","year","state","division","total_population","fss","firearm_suicides","total_suicides","white_fss","nonwhite_fss"
"296",2015,"South Carolina","South Atlantic",4896146,0.632075472,469,742,0.634556592,0.48780489
"297",2015,"South Dakota","West North Central",858469,0.421965318,73,173,0.547826111,0
"298",2015,"Tennessee","East South Central",6600299,0.597378277,638,1068,0.601823688,0.666666687
"299",2015,"Texas","West South Central",27469114,0.587680519,1994,3393,0.594473004,0.451957285
"300",2015,"Utah","Mountain",2995919,0.496825397,313,630,0.511666656,0
"302",2015,"Virginia","South Atlantic",8382993,0.567056706,630,1111,0.584455967,0.315068483
"303",2015,"Washington","Pacific",7170351,0.474801061,537,1131,0.486777663,0.290909082
"305",2015,"Wisconsin","East North Central",5771337,0.483466363,424,877,0.485207111,0
"307",2016,"Alabama","East South Central",4863300,0.697969543,550,788,0.70168066,0.707692325
"308",2016,"Alaska","Pacific",741894,0.585492228,113,193,0.634782612,0.400000006
"309",2016,"Arizona","Mountain",6931071,0.594020456,755,1271,0.636202335,0.09375
"310",2016,"Arkansas","West South Central",2988248,0.596396396,331,555,0.607421875,0.388888896
"311",2016,"California","Pacific",39250017,0.371448533,1595,4294,0.389742196,0.25
"312",2016,"Colorado","Mountain",5540545,0.524828767,613,1168,0.531876147,0.230769232
"313",2016,"Connecticut","New England",3576452,0.277078086,110,397,0.252032518,0
"314",2016,"Delaware","South Atlantic",952065,0.546218487,65,119,0.490566045,0
"315",2016,"District of Columbia","South Atlantic",681170,0,0,40,0,0
"316",2016,"Florida","South Atlantic",20612439,0.531975819,1672,3143,0.537664115,0.452282161
"317",2016,"Georgia","South Atlantic",10310371,0.618168914,871,1409,0.625107467,0.551020384
"318",2016,"Hawaii","Pacific",1428557,0.212643678,37,174,0.178571433,0.180180177
"320",2016,"Illinois","East North Central",12801539,0.357597173,506,1415,0.362001568,0.251851857
"321",2016,"Indiana","East North Central",6633053,0.571566731,591,1034,0.570230603,0.394736856
"323",2016,"Kansas","West North Central",2907289,0.5,257,514,0.50746268,0.5
"324",2016,"Kentucky","East South Central",4436974,0.654761905,495,756,0.664335668,0.393939406
"325",2016,"Louisiana","West South Central",4681666,0.649926145,440,677,0.673611104,0.483146071
"327",2016,"Maryland","South Atlantic",6016447,0.428327645,251,586,0.451754391,0.322314054
"328",2016,"Massachusetts","New England",6811779,0.222222222,140,630,0.215277776,0
"329",2016,"Michigan","East North Central",9928300,0.529151292,717,1355,0.531326294,0.483606547
"330",2016,"Minnesota","West North Central",5519952,0.445637584,332,745,0.466275662,0
"331",2016,"Mississippi","East South Central",2988726,0.699738903,268,383,0.710365832,0.688888907
"332",2016,"Missouri","West North Central",6093000,0.575730735,650,1129,0.580520749,0.402439028
"333",2016,"Montana","Mountain",1042520,0.606741573,162,267,0.622489989,0
"334",2016,"Nebraska","West North Central",1907116,0.471544715,116,246,0.436936945,0
"335",2016,"Nevada","Mountain",2940058,0.519440124,334,643,0.51657939,0.475409836
"337",2016,"New Jersey","Middle Atlantic",8944469,0.256186317,176,687,0.248756215,0.186666667
"338",2016,"New Mexico","Mountain",2081015,0.515923567,243,471,0.550000012,0
"339",2016,"New York","Middle Atlantic",19745289,0.292712067,490,1674,0.316455692,0.119047619
"340",2016,"North Carolina","South Atlantic",10146788,0.57771261,788,1364,0.582309604,0.409090906
"341",2016,"North Dakota","West North Central",757953,0.535714286,75,140,0.508474588,0
"342",2016,"Ohio","East North Central",11614373,0.542790152,926,1706,0.54621309,0.400000006
"343",2016,"Oklahoma","West South Central",3923561,0.635135135,517,814,0.637906671,0.495049506
"344",2016,"Oregon","Pacific",4093465,0.53626943,414,772,0.541723669,0
"345",2016,"Pennsylvania","Middle Atlantic",12784227,0.496187087,976,1967,0.505722046,0.258064508
"347",2016,"South Carolina","South Atlantic",4961119,0.644171779,525,815,0.65061897,0.537500024
"348",2016,"South Dakota","West North Central",865454,0.515337423,84,163,0.589743614,0.279069781
"349",2016,"Tennessee","East South Central",6651194,0.607560756,675,1111,0.613948941,0.422222227
"350",2016,"Texas","West South Central",27862596,0.579643473,2016,3478,0.58053267,0.530864179
"353",2016,"Virginia","South Atlantic",8411808,0.576956148,671,1163,0.588059723,0.411392391
"354",2016,"Washington","Pacific",7288000,0.451358457,515,1141,0.46726191,0.341666669
"356",2016,"Wisconsin","East North Central",5778709,0.53092182,455,857,0.528395057,0.46875
"358",2017,"Alabama","East South Central",4874747,0.685406699,573,836,0.692410111,0.512820542
"359",2017,"Alaska","Pacific",739795,0.595,119,200,0.554621875,0.397058815
"360",2017,"Arizona","Mountain",7016270,0.596834966,792,1327,0.622544825,0.302631587
"361",2017,"Arkansas","West South Central",3004279,0.621236133,392,631,0.623916805,0.51219511
"362",2017,"California","Pacific",39536653,0.373376623,1610,4312,0.393914461,0.261001527
"363",2017,"Colorado","Mountain",5607154,0.50127011,592,1181,0.503629744,0.280701756
"364",2017,"Connecticut","New England",3588184,0.269135802,109,405,0.252717406,0
"365",2017,"Delaware","South Atlantic",961939,0.446428571,50,112,0.393939406,0
"366",2017,"District of Columbia","South Atlantic",693972,0,0,47,0,0
"367",2017,"Florida","South Atlantic",20984400,0.533932445,1723,3227,0.540703535,0.405857742
"368",2017,"Georgia","South Atlantic",10429379,0.625775327,908,1451,0.633165836,0.609756112
"369",2017,"Hawaii","Pacific",1427538,0.13215859,30,227,0.135135129,0.090090089
"371",2017,"Illinois","East North Central",12802023,0.391451832,577,1474,0.388036817,0.393750012
"372",2017,"Indiana","East North Central",6666818,0.553113553,604,1092,0.554901958,0.491803288
"374",2017,"Kansas","West North Central",2913123,0.580882353,316,544,0.585317433,0.428571433
"375",2017,"Kentucky","East South Central",4454189,0.61038961,470,770,0.613915443,0.560000002
"376",2017,"Louisiana","West South Central",4684333,0.616666667,444,720,0.622895598,0.601694942
"378",2017,"Maryland","South Atlantic",6052177,0.431528662,271,628,0.454545468,0.293650806
"379",2017,"Massachusetts","New England",6859819,0.2228739,152,682,0.223101273,0
"380",2017,"Michigan","East North Central",9962311,0.468085106,682,1457,0.4743976,0.280991733
"381",2017,"Minnesota","West North Central",5576606,0.466155811,365,783,0.484550565,0
"382",2017,"Mississippi","East South Central",2984100,0.662921348,295,445,0.670157075,0.5
"383",2017,"Missouri","West North Central",6113532,0.609035621,701,1151,0.608411193,0.585714281
"384",2017,"Montana","Mountain",1050493,0.68488746,213,311,0.728260875,0
"386",2017,"Nevada","Mountain",2998039,0.528089888,329,623,0.542592585,0.204819277
"388",2017,"New Jersey","Middle Atlantic",9005644,0.256603774,204,795,0.266666681,0.150000006
"389",2017,"New Mexico","Mountain",2088070,0.531568228,261,491,0.558620691,0.318181813
"390",2017,"New York","Middle Atlantic",19849399,0.256213018,433,1690,0.277074546,0.111940302
"391",2017,"North Carolina","South Atlantic",10273419,0.555555556,840,1512,0.556053817,0.462500006
"392",2017,"North Dakota","West North Central",755393,0.603896104,93,154,0.574626863,0
"393",2017,"Ohio","East North Central",11658609,0.527586207,918,1740,0.527654171,0.46875
"394",2017,"Oklahoma","West South Central",3930864,0.590053763,439,744,0.593354404,0.428571433
"395",2017,"Oregon","Pacific",4142776,0.532121212,439,825,0.540645182,0
"396",2017,"Pennsylvania","Middle Atlantic",12805537,0.489162562,993,2030,0.495726496,0.370860934
"398",2017,"South Carolina","South Atlantic",5024369,0.633651551,531,838,0.635359108,0.560000002
"399",2017,"South Dakota","West North Central",869666,0.434554974,83,191,0.510638297,0
"400",2017,"Tennessee","East South Central",6715984,0.609777015,711,1166,0.610545814,0.540540516
"401",2017,"Texas","West South Central",28304596,0.572110286,2158,3772,0.581732213,0.467866331
"402",2017,"Utah","Mountain",3101833,0.518853695,344,663,0.528662443,0
"404",2017,"Virginia","South Atlantic",8470020,0.571914894,672,1175,0.572387338,0.528455257
"405",2017,"Washington","Pacific",7405743,0.492675405,639,1297,0.511206925,0.293650806
"407",2017,"Wisconsin","East North Central",5795483,0.473856209,435,918,0.470790386,0.375
"409",2018,"Alabama","East South Central",4887871,0.670716889,552,823,0.672676861,0.615384638
"410",2018,"Alaska","Pacific",737438,0.581521739,107,184,0.675000012,0.305084735
"411",2018,"Arizona","Mountain",7171646,0.557719054,802,1438,0.592741907,0.272251308
"412",2018,"Arkansas","West South Central",3013825,0.622743682,345,554,0.633204639,0.479999989
"413",2018,"California","Pacific",39557045,0.362725451,1629,4491,0.382096648,0.249641314
"414",2018,"Colorado","Mountain",5695564,0.514820593,660,1282,0.516290724,0.428571433
"415",2018,"Connecticut","New England",3572665,0.303102625,127,419,0.318652838,0
"416",2018,"Delaware","South Atlantic",967171,0.513274336,58,113,0.452631593,0
"417",2018,"District of Columbia","South Atlantic",702455,0,0,54,0,0
"418",2018,"Florida","South Atlantic",21299325,0.523969722,1869,3567,0.527963519,0.445692897
"419",2018,"Georgia","South Atlantic",10519475,0.629063098,987,1569,0.64940238,0.543130994
"420",2018,"Hawaii","Pacific",1420491,0.170454545,30,176,0.225352108,0.099009901
"421",2018,"Idaho","Mountain",1754208,0.599520384,250,417,0.612658203,0
"422",2018,"Illinois","East North Central",12741080,0.385080645,573,1488,0.396813363,0.226190478
"423",2018,"Indiana","East North Central",6691878,0.544949027,588,1079,0.546812773,0.475409836
"425",2018,"Kansas","West North Central",2911510,0.529945554,292,551,0.538461566,0.34375
"426",2018,"Kentucky","East South Central",4468402,0.63625,509,800,0.644179881,0.59375
"427",2018,"Louisiana","West South Central",4659978,0.648611111,467,720,0.658333361,0.607476652
"429",2018,"Maryland","South Atlantic",6042718,0.409230769,266,650,0.442084938,0.181818187
"430",2018,"Massachusetts","New England",6902149,0.200814111,148,737,0.204444438,0
"431",2018,"Michigan","East North Central",9995915,0.521345408,806,1546,0.525547445,0.386363626
"432",2018,"Minnesota","West North Central",5611179,0.48173207,356,739,0.499257058,0
"433",2018,"Mississippi","East South Central",2986530,0.743467933,313,421,0.75,0.725490212
"434",2018,"Missouri","West North Central",6126452,0.590243902,726,1230,0.596631229,0.505747139
"435",2018,"Montana","Mountain",1062305,0.603773585,160,265,0.628691971,0
"437",2018,"Nevada","Mountain",3034392,0.56374808,367,651,0.573913038,0.381578952
"439",2018,"New Jersey","Middle Atlantic",8908520,0.248071979,193,778,0.260740727,0.145631075
"440",2018,"New Mexico","Mountain",2095428,0.530188679,281,530,0.57303369,0.207792208
"441",2018,"New York","Middle Atlantic",19542209,0.258420441,445,1722,0.286505193,0.086642601
"442",2018,"North Carolina","South Atlantic",10383620,0.587483176,873,1486,0.594716966,0.43225807
"444",2018,"Ohio","East North Central",11689442,0.523679913,962,1837,0.532654285,0.375757575
"445",2018,"Oklahoma","West South Central",3943079,0.595390525,465,781,0.606015027,0.418181807
"446",2018,"Oregon","Pacific",4190713,0.51076555,427,836,0.511860192,0
"447",2018,"Pennsylvania","Middle Atlantic",12807060,0.509190263,1025,2013,0.518898487,0.347826093
"449",2018,"South Carolina","South Atlantic",5084127,0.607891492,493,811,0.608757079,0.571428597
"450",2018,"South Dakota","West North Central",882235,0.54491018,91,167,0.5546875,0
"451",2018,"Tennessee","East South Central",6770010,0.594315245,690,1161,0.588235319,0.595744669
"452",2018,"Texas","West South Central",28701845,0.576854448,2263,3923,0.580755055,0.507499993
"453",2018,"Utah","Mountain",3161105,0.509774436,339,665,0.51592356,0
"455",2018,"Virginia","South Atlantic",8517685,0.547580645,679,1240,0.564683676,0.342541426
"456",2018,"Washington","Pacific",7535591,0.481511254,599,1244,0.49545455,0.305555552
"458",2018,"Wisconsin","East North Central",5813568,0.472972973,420,888,0.483596593,0.239999995
"460",2019,"Alabama","East South Central",4903185,0.675373134,543,804,0.676096201,0.634408593
"461",2019,"Alaska","Pacific",731545,0.557142857,117,210,0.584745765,0.361445785
"462",2019,"Arizona","Mountain",7278717,0.570119803,809,1419,0.611952186,0.159235671
"463",2019,"Arkansas","West South Central",3017804,0.622262774,341,548,0.623015881,0.689655185
"464",2019,"California","Pacific",39512223,0.357529306,1586,4436,0.379006416,0.205202311
"465",2019,"Colorado","Mountain",5758736,0.493140244,647,1312,0.506132483,0.191176474
"466",2019,"Connecticut","New England",3565287,0.271264368,118,435,0.251928031,0.433333337
"468",2019,"District of Columbia","South Atlantic",705749,0.272727273,12,44,0,0
"469",2019,"Florida","South Atlantic",21477737,0.521789322,1808,3465,0.524976432,0.478417277
"470",2019,"Georgia","South Atlantic",10617423,0.602523659,955,1585,0.614420056,0.567114115
"471",2019,"Hawaii","Pacific",1415872,0.183035714,41,224,0.182795703,0.157480314
"472",2019,"Idaho","Mountain",1787065,0.610958904,223,365,0.625,0
"473",2019,"Illinois","East North Central",12671821,0.375260598,540,1439,0.384554774,0.242603555
"474",2019,"Indiana","East North Central",6732219,0.586419753,570,972,0.587125421,0.551724136
"475",2019,"Iowa","West North Central",3155070,0.441287879,233,528,0.451416999,0
"476",2019,"Kansas","West North Central",2913314,0.556405354,291,523,0.560574949,0.649999976
"477",2019,"Kentucky","East South Central",4467673,0.588624339,445,756,0.596614957,0.566666663
"478",2019,"Louisiana","West South Central",4648794,0.633522727,446,704,0.62731874,0.591836751
"480",2019,"Maryland","South Atlantic",6045680,0.409160305,268,655,0.432220042,0.282608688
"481",2019,"Massachusetts","New England",6892503,0.219474498,142,647,0.223529413,0
"482",2019,"Michigan","East North Central",9986857,0.507871321,742,1461,0.503067493,0.490445852
"483",2019,"Minnesota","West North Central",5639632,0.421686747,350,830,0.447988898,0.183486238
"484",2019,"Mississippi","East South Central",2976149,0.706422018,308,436,0.711111128,0.730158746
"485",2019,"Missouri","West North Central",6137428,0.596844873,681,1141,0.602443635,0.457627118
"486",2019,"Montana","Mountain",1068778,0.595155709,172,289,0.624505937,0
"488",2019,"Nevada","Mountain",3080156,0.55399061,354,639,0.559502661,0.449275374
"490",2019,"New Jersey","Middle Atlantic",8882190,0.227034121,173,762,0.246489853,0.099173553
"491",2019,"New Mexico","Mountain",2096829,0.553606238,284,513,0.594907403,0.213114753
"492",2019,"New York","Middle Atlantic",19453561,0.267647059,455,1700,0.290819913,0.0989011
"493",2019,"North Carolina","South Atlantic",10488084,0.578947368,781,1349,0.58453697,0.512345672
"495",2019,"Ohio","East North Central",11689100,0.542936288,980,1805,0.54852581,0.421965331
"496",2019,"Oklahoma","West South Central",3956971,0.586121437,473,807,0.594436288,0.452991456
"497",2019,"Oregon","Pacific",4217737,0.518930958,466,898,0.529411793,0
"498",2019,"Pennsylvania","Middle Atlantic",12801989,0.508438819,964,1896,0.51879698,0.317365259
"500",2019,"South Carolina","South Atlantic",5148714,0.624413146,532,852,0.626373649,0.603603601
"501",2019,"South Dakota","West North Central",884659,0.538461538,98,182,0.605633795,0
"502",2019,"Tennessee","East South Central",6829174,0.612479475,746,1218,0.614051104,0.456896544
"503",2019,"Texas","West South Central",28995881,0.576249356,2237,3882,0.58109653,0.521052659
"504",2019,"Utah","Mountain",3205958,0.509287926,329,646,0.510603607,0
"506",2019,"Virginia","South Atlantic",8535519,0.582378855,661,1135,0.592746139,0.405882359
"507",2019,"Washington","Pacific",7614893,0.505957109,637,1259,0.529095769,0.267605633
"509",2019,"Wisconsin","East North Central",5822434,0.505325444,427,845,0.512040555,0.681818187
"511",2020,"Alabama","East South Central",4921532,0.683480454,542,793,0.689655185,0.639175236
"512",2020,"Alaska","Pacific",731158,0.651960784,133,204,0.733870983,0.524999976
"513",2020,"Arizona","Mountain",7421401,0.608950844,830,1363,0.628259063,0.477011502
"514",2020,"Arkansas","West South Central",3030522,0.624356775,364,583,0.639155447,0.5
"515",2020,"California","Pacific",39368078,0.374517375,1552,4144,0.394989818,0.276836157
"516",2020,"Colorado","Mountain",5807719,0.502304147,654,1302,0.515780747,0.34375
"517",2020,"Connecticut","New England",3557006,0.299450549,109,364,0.311178237,0.181818187
"518",2020,"Delaware","South Atlantic",986809,0.467741935,58,124,0.476190478,0.421052635
"520",2020,"Florida","South Atlantic",21733312,0.551834131,1730,3135,0.556877851,0.514814794
"521",2020,"Georgia","South Atlantic",10710017,0.629778672,939,1491,0.165950134,2.281345606
"522",2020,"Hawaii","Pacific",1407006,0.168478261,31,184,0.240963861,0.109999999
"523",2020,"Idaho","Mountain",1826913,0.661097852,277,419,0.661800504,0.625
"524",2020,"Illinois","East North Central",12587530,0.398678414,543,1362,0.403996527,0.371428579
"525",2020,"Indiana","East North Central",6754953,0.594726563,609,1024,0.593548357,0.606382966
"526",2020,"Iowa","West North Central",3163561,0.471014493,260,552,0.47047618,0.481481493
"527",2020,"Kansas","West North Central",2913805,0.59245283,314,530,0.595482528,0.558139563
"528",2020,"Kentucky","East South Central",4477251,0.646691635,518,801,0.650200248,0.596153855
"529",2020,"Louisiana","West South Central",4645318,0.633385335,406,641,0.629213512,0.65420562
"530",2020,"Maine","New England",1350141,0.564102564,132,234,0.579645991,0.125
"531",2020,"Maryland","South Atlantic",6055802,0.456410256,267,585,0.46875,0.416058391
"532",2020,"Massachusetts","New England",6893574,0.217532468,134,616,0.226950347,0.115384616
"533",2020,"Michigan","East North Central",9966555,0.527373527,761,1443,0.527229667,0.528409064
"534",2020,"Minnesota","West North Central",5657342,0.46701847,354,758,0.494783908,0.25287357
"535",2020,"Mississippi","East South Central",2966786,0.681372549,278,408,0.667673707,0.740259767
"536",2020,"Missouri","West North Central",6151548,0.62633452,704,1124,0.631476045,0.574257433
"537",2020,"Montana","Mountain",1080577,0.63,189,300,0.658914745,0.452380955
"538",2020,"Nebraska","West North Central",1937552,0.491166078,139,283,0.52140075,0.192307696
"539",2020,"Nevada","Mountain",3138259,0.617940199,372,602,0.633333325,0.532608688
"540",2020,"New Hampshire","New England",1366275,0.504273504,118,234,0.5,0.75
"541",2020,"New Jersey","Middle Atlantic",8882371,0.266568483,181,679,0.287215412,0.157407403
"542",2020,"New Mexico","Mountain",2106319,0.588349515,303,515,0.647887349,0.303370774
"543",2020,"New York","Middle Atlantic",19336776,0.281535649,462,1641,0.308588058,0.142322093
"544",2020,"North Carolina","South Atlantic",10600823,0.60999306,879,1441,0.620661795,0.544554472
"545",2020,"North Dakota","West North Central",765309,0.57037037,77,135,0.585585594,0.5
"546",2020,"Ohio","East North Central",11693217,0.550274223,903,1641,0.555479467,0.508287311
"547",2020,"Oklahoma","West South Central",3980783,0.619102417,538,869,0.63753581,0.543859661
"548",2020,"Oregon","Pacific",4241507,0.546329723,454,831,0.551898718,0.439024389
"549",2020,"Pennsylvania","Middle Atlantic",12783254,0.542502952,919,1694,0.556572914,0.412121207
"550",2020,"Rhode Island","New England",1057125,0.319148936,30,94,0.34117648,0.111111112
"551",2020,"South Carolina","South Atlantic",5218040,0.650921659,565,868,0.645721912,0.683333337
"552",2020,"South Dakota","West North Central",892717,0.47311828,88,186,0.559701502,0.25
"553",2020,"Tennessee","East South Central",6886834,0.629204266,767,1219,0.627149343,0.649122834
"554",2020,"Texas","West South Central",29360759,0.583418367,2287,3920,0.590948403,0.525498867
"555",2020,"Utah","Mountain",3249879,0.521538462,339,650,0.528455257,0.400000006
"556",2020,"Vermont","New England",623347,0.58974359,69,117,0.587719321,0.666666687
"557",2020,"Virginia","South Atlantic",8590563,0.580349709,697,1201,0.59453994,0.514150918
"558",2020,"Washington","Pacific",7693612,0.50990099,618,1212,0.531190932,0.363636374
"559",2020,"West Virginia","South Atlantic",1784787,0.621468927,220,354,0.626112759,0.529411793
"560",2020,"Wisconsin","East North Central",5832655,0.51039261,442,866,0.516169131,0.435483873
"561",2020,"Wyoming","Mountain",582328,0.703296703,128,182,0.706214666,0.600000024
